FID,id,vejkode,vejnavn,park_id,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,stativ_foto,bemaerkning,reg_metode,reg_dato,rettet_dato,budget,projekt,faerdigmelding,projektbeskrivelse,stativ_fjernet,wkb_geometry
cykelstativ.1,6451,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (723843.0925769809 6175240.528241224)
cykelstativ.2,6450,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (723852.1345367862 6175244.378119267)
cykelstativ.3,7174,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (723457.7005674671 6175338.450505406)
cykelstativ.4,7175,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (723461.3329298219 6175320.671047563)
cykelstativ.5,7176,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,15,Ikke registreret,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (723472.4211938515 6175283.773893112)
cykelstativ.6,4569,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (723570.6002181006 6175040.983545821)
cykelstativ.7,6877,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,13,Ikke registreret,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (723555.9639225205 6175075.057817475)
cykelstativ.8,6020,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2016-05-30T12:45:44.181,2018-08-09T11:04:28.195,,,,,2,POINT (723560.4173332714 6175065.251555509)
cykelstativ.9,6588,0024,Adelgade,0,Indre By,Ikke registreret,På fortov,Enkeltsidet,Ikke registreret,10,Ikke registreret, ,2x5 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725209.9087656126 6176595.8270782605)
cykelstativ.10,6553,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,10,Ikke registreret,,,Digitaliseret manuelt,2017-02-02T15:14:21.202,2018-08-09T11:04:28.195,,,,,2,POINT (725413.8491869732 6177045.853007892)
cykelstativ.11,441,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,,,Digitaliseret manuelt,2001-08-04T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725398.351528387 6177038.789489233)
cykelstativ.12,4912,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725264.084651614 6176745.91539305)
cykelstativ.13,6593,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,48,Ikke registreret, ,2x12+24 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725251.7416979834 6176715.45590679)
cykelstativ.14,6552,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,20,Ikke registreret,,2x10 pladser,Digitaliseret manuelt,2017-02-02T15:08:53.388,2018-08-09T11:04:28.195,,,,,2,POINT (725362.6957981833 6176980.09382362)
cykelstativ.15,6550,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,4,Ikke registreret,,,Digitaliseret manuelt,2017-02-02T15:08:53.389,2018-08-09T11:04:28.195,,,,,2,POINT (725345.0448113098 6176956.944183835)
cykelstativ.16,6551,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,20,Ikke registreret,,2x10 pladser,Digitaliseret manuelt,2017-02-02T15:08:53.388,2018-08-09T11:04:28.195,,,,,2,POINT (725357.5781060525 6176969.310115201)
cykelstativ.17,6592,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,24,Ikke registreret, ,2x12 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725244.1559875234 6176696.929267782)
cykelstativ.18,4909,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725301.393136233 6176836.91218332)
cykelstativ.19,4910,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725294.6624807881 6176819.30896598)
cykelstativ.20,4911,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725271.2426741429 6176766.36664837)
cykelstativ.21,6591,0024,Adelgade,0,Indre By,Ikke registreret,Tæt på facade,Enkeltsidet,Ikke registreret,15,Ikke registreret, ,,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725242.2230901468 6176634.821263392)
cykelstativ.22,439,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,,,Digitaliseret manuelt,2001-08-04T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725393.4362021406 6177027.411676381)
cykelstativ.23,6590,0024,Adelgade,0,Indre By,Ikke registreret,På fortov,Enkeltsidet,Ikke registreret,35,Ikke registreret, ,2x10+15,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725215.8725206254 6176610.122549836)
cykelstativ.24,6589,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,12,Ikke registreret, ,2x5 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725200.0861102977 6176548.380144998)
cykelstativ.25,105,0028,Admiralgade,0,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret, ,,Ikke registreret,2001-07-10T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725246.212120499 6175960.39368628)
cykelstativ.26,6871,0028,Admiralgade,0,Indre By,Noli,På fortovsudvidelse,Enkeltsidet,Vinkelret,12,Ikke registreret,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (725260.6966313196 6175952.589236811)
cykelstativ.27,106,0028,Admiralgade,0,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,25,Ikke registreret, ,,Ikke registreret,2001-07-10T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725241.007404045 6175968.63415073)
cykelstativ.28,6644,0028,Admiralgade,0,Indre By,Ikke registreret,På fortovsudvidelse,Ikke registreret,Ikke registreret,12,Ikke registreret, ,,Digitaliseret manuelt,2017-02-07T12:10:05.163,2018-08-09T11:04:28.195,,,,,2,
cykelstativ.29,3425,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725417.5762536491 6178371.98970242)
cykelstativ.30,3424,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725418.22214658 6178370.60568165)
cykelstativ.31,3423,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725419.237111417 6178368.57582991)
cykelstativ.32,3422,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725419.790435032 6178367.28407932)
cykelstativ.33,3421,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725420.3440700129 6178365.80788583)
cykelstativ.34,3420,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725421.082214105 6178364.51622394)
cykelstativ.35,3419,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725423.882297297 6178357.82509866)
cykelstativ.36,3418,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725426.812224057 6178350.66281647)
cykelstativ.37,3417,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725429.742275199 6178345.12850517)
cykelstativ.38,3416,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725431.6955256211 6178340.57077404)
cykelstativ.39,3415,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725432.979163094 6178337.64407294)
cykelstativ.40,3414,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725434.33602266 6178334.77973768)
cykelstativ.41,3413,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725434.978555787 6178333.85818003)
cykelstativ.42,3108,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,31,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725394.150690981 6178450.833087376)
cykelstativ.43,3113,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725401.92128216 6178405.10715612)
cykelstativ.44,3112,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,9,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725396.81323155 6178414.98304269)
cykelstativ.45,3111,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,14,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725392.726335475 6178424.17769666)
cykelstativ.46,3110,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725388.2996185861 6178432.69129873)
cykelstativ.47,3109,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725384.894034725 6178440.18319633)
cykelstativ.48,3107,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725397.494282033 6178443.92928912)
cykelstativ.49,7075,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,4,Ikke registreret,,,Digitaliseret manuelt,2017-02-12T17:35:37.351,2018-08-09T11:04:28.195,,,,,2,POINT (725436.0272038982 6178361.262900621)
cykelstativ.50,7074,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,22,Ikke registreret,,,Digitaliseret manuelt,2017-02-12T17:35:37.351,2018-08-09T11:04:28.195,,,,,2,POINT (725440.0499652257 6178352.969823422)
